"ID","Ortnamn","N","E","LOPNR","Namntyp_nr","Språk_nr","Sockenstad_nr","Län_nr","Kommun_nr","Kombo","Sockenstad","nr"
60524,"Lappuddmyran",7139097.00,611968.00,3809167.00,4,5,23,1,12,"Lappuddmyran_3809167_23","Åsele",23
60525,"Lappvalltjärnen",7122953.00,630174.00,3809204.00,8,5,23,1,12,"Lappvalltjärnen_3809204_23","Åsele",23
60526,"Lappvogen",7108406.00,614131.00,3809285.00,6,5,23,1,12,"Lappvogen_3809285_23","Åsele",23
60527,"Lappvägamyran",7151947.00,625232.00,3809288.00,4,5,23,1,12,"Lappvägamyran_3809288_23","Åsele",23
60528,"Laraborg",7123885.00,601131.00,3809337.00,1,5,23,1,12,"Laraborg_3809337_23","Åsele",23
60529,"Lars-Larsberget",7103400.00,667435.00,3809828.00,5,5,8,1,12,"Lars-Larsberget_3809828_8","Fredrika",8
60530,"Lars-Larsrået",7111379.00,666688.00,3809836.00,4,5,8,1,12,"Lars-Larsrået_3809836_8","Fredrika",8
60531,"Latikberget",7137214.00,585307.00,3811005.00,1,5,23,1,12,"Latikberget_3811005_23","Åsele",23
60532,"Latikbodarna",7132116.00,584539.00,3811010.00,1,5,23,1,12,"Latikbodarna_3811010_23","Åsele",23
60533,"Latikmyran",7132627.00,583235.00,3811013.00,4,5,23,1,12,"Latikmyran_3811013_23","Åsele",23
60534,"Latiksjön",7132624.00,584773.00,3811015.00,8,5,23,1,12,"Latiksjön_3811015_23","Åsele",23
60535,"Lavberget",7126928.00,611791.00,3811309.00,5,5,23,1,12,"Lavberget_3811309_23","Åsele",23
60536,"Lavsjökullen",7121810.00,650102.00,3811436.00,5,5,8,1,12,"Lavsjökullen_3811436_8","Fredrika",8
60537,"Lejonbacktjärnen",7092895.00,621465.00,3812912.00,8,5,23,1,12,"Lejonbacktjärnen_3812912_23","Åsele",23
60538,"Lermyran",7115745.00,665117.00,3814640.00,4,5,8,1,12,"Lermyran_3814640_8","Fredrika",8
60539,"Liden",7118613.00,622972.00,3816413.00,5,5,23,1,12,"Liden_3816413_23","Åsele",23
60540,"Lill-Almselberget",7141440.00,594490.00,3827746.00,5,5,23,1,12,"Lill-Almselberget_3827746_23","Åsele",23
60541,"Lill-Alskasjön",7140218.00,653801.00,3827749.00,8,5,8,1,12,"Lill-Alskasjön_3827749_8","Fredrika",8
60542,"Lill-Avasjöberget",7130882.00,593392.00,3828006.00,5,5,23,1,12,"Lill-Avasjöberget_3828006_23","Åsele",23
60543,"Lill-Avasjömyran",7133501.00,594539.00,3828007.00,4,5,23,1,12,"Lill-Avasjömyran_3828007_23","Åsele",23
60544,"Lill-Avasjön",7131758.00,593514.00,3828008.00,8,5,23,1,12,"Lill-Avasjön_3828008_23","Åsele",23
60545,"Lill-Backatjärnen",7096020.00,626784.00,3828037.00,8,5,23,1,12,"Lill-Backatjärnen_3828037_23","Åsele",23
60546,"Lill-Baksjön",7120158.00,630925.00,3828061.00,8,5,23,1,12,"Lill-Baksjön_3828061_23","Åsele",23
60547,"Lillberget",7131719.00,613629.00,3828337.00,5,5,23,1,12,"Lillberget_3828337_23","Åsele",23
60548,"Lillberget",7134158.00,618337.00,3828338.00,5,5,23,1,12,"Lillberget_3828338_23","Åsele",23
60549,"Lillberget",7122419.00,647487.00,3828339.00,5,5,8,1,12,"Lillberget_3828339_8","Fredrika",8
60550,"Lill-Bergmyran",7111068.00,611105.00,3828512.00,4,5,23,1,12,"Lill-Bergmyran_3828512_23","Åsele",23
60551,"Lill-Bergmyran",7128765.00,593983.00,3828513.00,4,5,23,1,12,"Lill-Bergmyran_3828513_23","Åsele",23
60552,"Lillbergmyran",7143054.00,625081.00,3828523.00,4,5,23,1,12,"Lillbergmyran_3828523_23","Åsele",23
60553,"Lillbergmyrkullen",7142387.00,625242.00,3828527.00,5,5,23,1,12,"Lillbergmyrkullen_3828527_23","Åsele",23
60554,"Lill-Bläcksjön",7114937.00,603571.00,3828713.00,8,5,23,1,12,"Lill-Bläcksjön_3828713_23","Åsele",23
60555,"Lillbäckmyran",7130113.00,595389.00,3829001.00,4,5,23,1,12,"Lillbäckmyran_3829001_23","Åsele",23
60556,"Lill-Enströmsmyran",7124184.00,602389.00,3829866.00,4,5,23,1,12,"Lill-Enströmsmyran_3829866_23","Åsele",23
